y,h
0.5994,-0.750172
0.5982,-0.750518
0.597,-0.750867
0.5958,-0.751219
0.5946,-0.751574
0.5934,-0.751931
0.5922,-0.752292
0.591,-0.752655
0.5898,-0.753022
0.5886,-0.753392
0.5874,-0.753764
0.5862,-0.75414
0.585,-0.754519
0.5838,-0.754901
0.5826,-0.755286
0.5814,-0.755675
0.5802,-0.756066
0.579,-0.756461
0.5778,-0.75686
0.5766,-0.757261
0.5754,-0.757666
0.5742,-0.758074
0.573,-0.758486
0.5718,-0.758901
0.5706,-0.759319
0.5694,-0.759741
0.5682,-0.760167
0.567,-0.760596
0.5658,-0.761028
0.5646,-0.761464
0.5634,-0.761904
0.5622,-0.762347
0.561,-0.762795
0.5598,-0.763245
0.5586,-0.7637
0.5574,-0.764158
0.5562,-0.764621
0.555,-0.765087
0.5538,-0.765557
0.5526,-0.766031
0.5514,-0.766508
0.5502,-0.76699
0.549,-0.767476
0.5478,-0.767966
0.5466,-0.76846
0.5454,-0.768958
0.5442,-0.76946
0.543,-0.769967
0.5418,-0.770478
0.5406,-0.770993
0.5394,-0.771512
0.5382,-0.772036
0.537,-0.772564
0.5358,-0.773097
0.5346,-0.773634
0.5334,-0.774176
0.5322,-0.774722
0.531,-0.775273
0.5298,-0.775829
0.5286,-0.776389
0.5274,-0.776954
0.5262,-0.777524
0.525,-0.778099
0.5238,-0.778678
0.5226,-0.779263
0.5214,-0.779852
0.5202,-0.780447
0.519,-0.781046
0.5178,-0.781651
0.5166,-0.782261
0.5154,-0.782876
0.5142,-0.783496
0.513,-0.784122
0.5118,-0.784753
0.5106,-0.785389
0.5094,-0.786031
0.5082,-0.786679
0.507,-0.787332
0.5058,-0.78799
0.5046,-0.788655
0.5034,-0.789325
0.5022,-0.790001
0.501,-0.790683
0.4998,-0.791371
0.4986,-0.792065
0.4974,-0.792764
0.4962,-0.79347
0.495,-0.794182
0.4938,-0.794901
0.4926,-0.795626
0.4914,-0.796357
0.4902,-0.797094
0.489,-0.797838
0.4878,-0.798589
0.4866,-0.799346
0.4854,-0.80011
0.4842,-0.800881
0.483,-0.801658
0.4818,-0.802443
0.4806,-0.803234
0.4794,-0.804033
0.4782,-0.804838
0.477,-0.805651
0.4758,-0.806471
0.4746,-0.807299
0.4734,-0.808134
0.4722,-0.808977
0.471,-0.809827
0.4698,-0.810685
0.4686,-0.811551
0.4674,-0.812424
0.4662,-0.813306
0.465,-0.814196
0.4638,-0.815093
0.4626,-0.815999
0.4614,-0.816914
0.4602,-0.817837
0.459,-0.818768
0.4578,-0.819708
0.4566,-0.820657
0.4554,-0.821614
0.4542,-0.822581
0.453,-0.823556
0.4518,-0.824541
0.4506,-0.825534
0.4494,-0.826538
0.4482,-0.82755
0.447,-0.828573
0.4458,-0.829604
0.4446,-0.830646
0.4434,-0.831698
0.4422,-0.832759
0.441,-0.833831
0.4398,-0.834913
0.4386,-0.836006
0.4374,-0.837109
0.4362,-0.838222
0.435,-0.839347
0.4338,-0.840482
0.4326,-0.841629
0.4314,-0.842786
0.4302,-0.843955
0.429,-0.845136
0.4278,-0.846328
0.4266,-0.847532
0.4254,-0.848747
0.4242,-0.849975
0.423,-0.851215
0.4218,-0.852468
0.4206,-0.853733
0.4194,-0.855011
0.4182,-0.856302
0.417,-0.857606
0.4158,-0.858923
0.4146,-0.860253
0.4134,-0.861598
0.4122,-0.862955
0.411,-0.864327
0.4098,-0.865714
0.4086,-0.867114
0.4074,-0.868529
