#Time flux(top) flux(bottom)
1 -4.783214976e-09 4.75321287e-09
2.250000002 -4.783217398e-09 4.753212825e-09
3.812500008 -4.783220425e-09 4.753212796e-09
5.765625009 -4.783224208e-09 4.753212773e-09
8.207031249 -4.783228938e-09 4.753212753e-09
11.25878903 -4.78323485e-09 4.753212734e-09
15.07348623 -4.783242239e-09 4.753212714e-09
19.84185768 -4.783251477e-09 4.753212695e-09
25.80232192 -4.783263023e-09 4.753212676e-09
33.25290227 -4.783277457e-09 4.753212657e-09
42.56612755 -4.783295498e-09 4.753212638e-09
54.20765941 -4.78331805e-09 4.75321262e-09
68.75957424 -4.78334624e-09 4.753212601e-09
86.94946744 -4.783381478e-09 4.753212583e-09
109.6868329 -4.783425525e-09 4.753212565e-09
138.1085406 -4.783480583e-09 4.753212547e-09
173.6356751 -4.783549406e-09 4.753212529e-09
218.0445933 -4.783635435e-09 4.753212513e-09
273.5557411 -4.783742972e-09 4.753212496e-09
342.9446758 -4.783877392e-09 4.753212481e-09
429.6808516 -4.784045417e-09 4.753212468e-09
538.101095 -4.784255449e-09 4.753212455e-09
673.6264176 -4.784517989e-09 4.753212445e-09
843.0330995 -4.784846164e-09 4.753212436e-09
1054.791407 -4.785256383e-09 4.753212429e-09
1319.489432 -4.785769156e-09 4.753212425e-09
1650.362181 -4.786410123e-09 4.753212423e-09
2063.952776 -4.787211332e-09 4.753212424e-09
2580.94102 -4.788212842e-09 4.753212429e-09
3227.175907 -4.78946473e-09 4.753212438e-09
4034.969516 -4.791029589e-09 4.753212452e-09
5044.713566 -4.792985665e-09 4.75321247e-09
6306.893628 -4.795430762e-09 4.753212493e-09
7884.616217 -4.798487131e-09 4.753212522e-09
9856.769454 -4.80230759e-09 4.753212556e-09
12321.94884 -4.80708315e-09 4.753212595e-09
15403.42308 -4.813052586e-09 4.75321264e-09
19255.28072 -4.820514399e-09 4.753212689e-09
24070.14913 -4.82984173e-09 4.75321274e-09
30088.80711 -4.841501021e-09 4.753212793e-09
37612.12957 -4.856075214e-09 4.753212844e-09
47016.37111 -4.87429305e-09 4.753212891e-09
58771.39661 -4.897065142e-09 4.753212932e-09
73465.39445 -4.925530193e-09 4.753212964e-09
91832.55426 -4.961111375e-09 4.753212986e-09
114792.0314 -5.005588058e-09 4.753213e-09
143490.5537 -5.061183592e-09 4.753213006e-09
179364.9945 -5.130678508e-09 4.753213006e-09
224208.0454 -5.217548539e-09 4.753213004e-09
280261.8591 -5.326136078e-09 4.753213002e-09
350338.9602 -5.461881086e-09 4.753213e-09
437943.0238 -5.631581202e-09 4.753213e-09
547472.144 -5.843740494e-09 4.753213e-09
684364.7507 -6.108945255e-09 4.753213e-09
855451.1328 -6.440399366e-09 4.753213e-09
1069355.052 -6.854734832e-09 4.753213e-09
1336734.951 -7.372703609e-09 4.753213e-09
1671184.892 -8.020406801e-09 4.753213e-09
2089600.114 -8.830657702e-09 4.753213e-09
2613172.601 -9.844446659e-09 4.753213e-09
3266771.367 -1.111134559e-08 4.753213e-09
3998121.659 -1.260185979e-08 4.753213e-09
4769782.598 -1.421943524e-08 4.753213e-09
5557001.216 -1.589713747e-08 4.753213e-09
6344219.835 -1.759158324e-08 4.753213e-09
7121953.892 -1.92758215e-08 4.753213e-09
7881316.278 -2.093008024e-08 4.753213e-09
8617403.189 -2.253951736e-08 4.753213e-09
9326227.621 -2.409456437e-08 4.753213e-09
10007205.38 -2.559030163e-08 4.753213e-09
10657865.64 -2.702344126e-08 4.753213e-09
11278659.52 -2.839180961e-08 4.753213e-09
11868413.71 -2.969462944e-08 4.753213e-09
12425016.03 -3.092836483e-08 4.753213e-09
12953396.27 -3.209604816e-08 4.753213e-09
13454861.7 -3.320439188e-08 4.753213e-09
13930742.15 -3.425623412e-08 4.753213001e-09
14383465.41 -3.525561891e-08 4.753213002e-09
14814130.22 -3.620634158e-08 4.753213003e-09
15223833.47 -3.711076513e-08 4.753213005e-09
15614480.76 -3.797212089e-08 4.753213007e-09
15986225.76 -3.87926251e-08 4.753213011e-09
16341464.7 -3.957502203e-08 4.753213016e-09
16680318.09 -4.032202025e-08 4.753213023e-09
17007674.66 -4.103901082e-08 4.753213033e-09
17321017.69 -4.172854654e-08 4.753213045e-09
17622468.15 -4.239020151e-08 4.753213062e-09
17911497.52 -4.302568957e-08 4.753213083e-09
18189495.23 -4.363593723e-08 4.753213109e-09
18456863.62 -4.422287284e-08 4.753213142e-09
18714737.4 -4.478815061e-08 4.753213183e-09
18963414.03 -4.533331186e-08 4.753213234e-09
19203515.6 -4.585934627e-08 4.753213295e-09
19435603.51 -4.636752751e-08 4.753213368e-09
19660186.1 -4.685900686e-08 4.753213456e-09
19877987.8 -4.733511107e-08 4.75321356e-09
20089150.77 -4.766633882e-08 4.753213683e-09
20294294.27 -4.691600622e-08 4.753213828e-09
20493303.91 -4.595039734e-08 4.753213996e-09
20687155.64 -4.501176694e-08 4.753214193e-09
20875707.52 -4.409812236e-08 4.753214419e-09
21059613.37 -4.320824064e-08 4.753214681e-09
21238912.35 -4.234046609e-08 4.753214981e-09
21413825.35 -4.149417737e-08 4.753215325e-09
21584721.21 -4.066796553e-08 4.753215718e-09
21751620.45 -3.986090032e-08 4.753216164e-09
21915151.07 -3.907143224e-08 4.753216672e-09
22075011.8 -3.829878066e-08 4.753217247e-09
22231773.9 -3.754230054e-08 4.753217898e-09
22385419.73 -3.680066914e-08 4.753218634e-09
22536068.23 -3.607364446e-08 4.753219463e-09
22683954.84 -3.536037979e-08 4.753220398e-09
22829176.83 -3.466008024e-08 4.75322145e-09
22971826.44 -3.397229299e-08 4.753222635e-09
23112102.33 -3.329632303e-08 4.753223969e-09
23249972.87 -3.263177132e-08 4.75322547e-09
23385829.92 -3.197777716e-08 4.753227165e-09
23519426.12 -3.133399533e-08 4.753229077e-09
23651128.04 -3.0700141e-08 4.753231243e-09
23780891.74 -3.007544332e-08 4.753233704e-09
23908772.08 -2.945987622e-08 4.753236513e-09
24035002.35 -2.885275125e-08 4.753239743e-09
24159447.19 -2.825383444e-08 4.753243483e-09
24282240.87 -2.766312838e-08 4.753247864e-09
24403592.91 -2.707981166e-08 4.753253078e-09
24523372.18 -2.650369703e-08 4.753259387e-09
24641777.46 -2.593462285e-08 4.753267203e-09
24758682.94 -2.537241476e-08 4.753277137e-09
24874430.18 -2.481655732e-08 4.753290204e-09
24988816.58 -2.426671852e-08 4.753307959e-09
25102092.42 -2.37227844e-08 4.75333305e-09
25214062.91 -2.318462239e-08 4.753369752e-09
25325108.62 -2.265178867e-08 4.753425615e-09
25434967.04 -2.212400115e-08 4.753513198e-09
25543866 -2.160134265e-08 4.753654893e-09
25651754.77 -2.108339009e-08 4.753889818e-09
25758848.28 -2.056975113e-08 4.754288995e-09
25864898.89 -2.006050391e-08 4.75497755e-09
25970307.55 -1.955528218e-08 4.756190553e-09
26074829.89 -1.905371183e-08 4.758350334e-09
26178665.81 -1.855589908e-08 4.762250914e-09
26281762.69 -1.806149206e-08 4.76936203e-09
26384311.82 -1.757015945e-08 4.782475792e-09
26486198.96 -1.708171716e-08 4.806793733e-09
26587787.84 -1.659556914e-08 4.8523845e-09
26688961.83 -1.611112499e-08 4.938030914e-09
26790076.78 -1.562781314e-08 5.099736905e-09
26891428.41 -1.514407688e-08 5.404902599e-09
26993678.01 -1.465762972e-08 5.978711417e-09
27097898.68 -1.416432777e-08 7.04508718e-09
27188423.34 -1.369903923e-08 8.53690309e-09
27281583.22 -1.32601773e-08 1.090239907e-08
