y,h
0.5994,587.975
0.5982,587.976
0.597,587.978
0.5958,587.979
0.5946,587.98
0.5934,587.981
0.5922,587.982
0.591,587.983
0.5898,587.985
0.5886,587.986
0.5874,587.987
0.5862,587.988
0.585,587.989
0.5838,587.99
0.5826,587.992
0.5814,587.993
0.5802,587.994
0.579,587.995
0.5778,587.996
0.5766,587.997
0.5754,587.998
0.5742,588
0.573,588.001
0.5718,588.002
0.5706,588.003
0.5694,588.004
0.5682,588.005
0.567,588.007
0.5658,588.008
0.5646,588.009
0.5634,588.01
0.5622,588.011
0.561,588.012
0.5598,588.014
0.5586,588.015
0.5574,588.016
0.5562,588.017
0.555,588.018
0.5538,588.019
0.5526,588.02
0.5514,588.022
0.5502,588.023
0.549,588.024
0.5478,588.025
0.5466,588.026
0.5454,588.027
0.5442,588.029
0.543,588.03
0.5418,588.031
0.5406,588.032
0.5394,588.033
0.5382,588.034
0.537,588.036
0.5358,588.037
0.5346,588.038
0.5334,588.039
0.5322,588.04
0.531,588.041
0.5298,588.043
0.5286,588.044
0.5274,588.045
0.5262,588.046
0.525,588.047
0.5238,588.048
0.5226,588.049
0.5214,588.051
0.5202,588.052
0.519,588.053
0.5178,588.054
0.5166,588.055
0.5154,588.056
0.5142,588.058
0.513,588.059
0.5118,588.06
0.5106,588.061
0.5094,588.062
0.5082,588.063
0.507,588.065
0.5058,588.066
0.5046,588.067
0.5034,588.068
0.5022,588.069
0.501,588.07
0.4998,588.071
0.4986,588.073
0.4974,588.074
0.4962,588.075
0.495,588.076
0.4938,588.077
0.4926,588.078
0.4914,588.08
0.4902,588.081
0.489,588.082
0.4878,588.083
0.4866,588.084
0.4854,588.085
0.4842,588.087
0.483,588.088
0.4818,588.089
0.4806,588.09
0.4794,588.091
0.4782,588.092
0.477,588.094
0.4758,588.095
0.4746,588.096
0.4734,588.097
0.4722,588.098
0.471,588.099
0.4698,588.1
0.4686,588.102
0.4674,588.103
0.4662,588.104
0.465,588.105
0.4638,588.106
0.4626,588.107
0.4614,588.109
0.4602,588.11
0.459,588.111
0.4578,588.112
0.4566,588.113
0.4554,588.114
0.4542,588.116
0.453,588.117
0.4518,588.118
0.4506,588.119
0.4494,588.12
0.4482,588.121
0.447,588.122
0.4458,588.124
0.4446,588.125
0.4434,588.126
0.4422,588.127
0.441,588.128
0.4398,588.129
0.4386,588.131
0.4374,588.132
0.4362,588.133
0.435,588.134
0.4338,588.135
0.4326,588.136
0.4314,588.138
0.4302,588.139
0.429,588.14
0.4278,588.141
0.4266,588.142
0.4254,588.143
0.4242,588.145
0.423,588.146
0.4218,588.147
0.4206,588.148
0.4194,588.149
0.4182,588.15
0.417,588.151
0.4158,588.153
0.4146,588.154
