y,C,CMatrix,theta,thetaMatrix
0.0005,1,1,0.0004999,0.262984
0.0015,1,1,0.0004999,0.262984
0.0025,1,1,0.0004999,0.262984
0.0035,1,1,0.0004999,0.262984
0.0045,1,1,0.0004999,0.262984
0.0055,1,1,0.0004999,0.262984
0.0065,1,1,0.0004999,0.262984
0.0075,1,1,0.0004999,0.262984
0.0085,1,1,0.0004999,0.262984
0.0095,1,1,0.0004999,0.262984
0.0105,1,1,0.0004999,0.262984
0.0115,1,1,0.0004999,0.262984
0.0125,1,1,0.0004999,0.262984
0.0135,1,1,0.0004999,0.262984
0.0145,1,1,0.0004999,0.262984
0.0155,1,1,0.0004999,0.262984
0.0165,1,1,0.0004999,0.262984
0.0175,1,1,0.0004999,0.262984
0.0185,1,1,0.0004999,0.262984
0.0195,1,1,0.0004999,0.262984
0.0205,1,1,0.0004999,0.262984
0.0215,1,1,0.0004999,0.262984
0.0225,1,1,0.0004999,0.262984
0.0235,1,1,0.0004999,0.262984
0.0245,1,1,0.0004999,0.262984
0.0255,1,1,0.0004999,0.262984
0.0265,1,1,0.0004999,0.262984
0.0275,1,1,0.0004999,0.262984
0.0285,1,1,0.0004999,0.262984
0.0295,1,1,0.0004999,0.262984
0.0305,1,1,0.0004999,0.262984
0.0315,1,1,0.0004999,0.262984
0.0325,1,1,0.0004999,0.262984
0.0335,1,1,0.0004999,0.262984
0.0345,1,1,0.0004999,0.262984
0.0355,1,1,0.0004999,0.262984
0.0365,1,1,0.0004999,0.262984
0.0375,1,1,0.0004999,0.262984
0.0385,1,1,0.0004999,0.262984
0.0395,1,1,0.0004999,0.262984
0.0405,1,1,0.0004999,0.262984
0.0415,1,1,0.0004999,0.262984
0.0425,1,1,0.0004999,0.262984
0.0435,1,1,0.0004999,0.262984
0.0445,1,1,0.0004999,0.262984
0.0455,1,1,0.0004999,0.262984
0.0465,1,1,0.0004999,0.262984
0.0475,1,1,0.0004999,0.262984
0.0485,1,1,0.0004999,0.262984
0.0495,1,1,0.0004999,0.262984
0.0505,1,1,0.0004999,0.262984
0.0515,1,1,0.0004999,0.262984
0.0525,1,1,0.0004999,0.262984
0.0535,1,1,0.0004999,0.262984
0.0545,1,1,0.0004999,0.262984
0.0555,1,1,0.0004999,0.262984
0.0565,1,1,0.0004999,0.262984
0.0575,1,1,0.0004999,0.262984
0.0585,1,1,0.0004999,0.262984
0.0595,1,1,0.0004999,0.262984
0.0605,1,1,0.0004999,0.262984
0.0615,1,1,0.0004999,0.262984
0.0625,1,1,0.0004999,0.262984
0.0635,1,1,0.0004999,0.262984
0.0645,1,1,0.0004999,0.262984
0.0655,1,1,0.0004999,0.262984
0.0665,1,1,0.0004999,0.262984
0.0675,1,1,0.0004999,0.262984
0.0685,1,1,0.0004999,0.262984
0.0695,1,1,0.0004999,0.262984
0.0705,1,1,0.0004999,0.262984
0.0715,1,1,0.0004999,0.262984
0.0725,1,1,0.0004999,0.262984
0.0735,1,1,0.0004999,0.262984
0.0745,1,1,0.0004999,0.262984
0.0755,1,1,0.0004999,0.262984
0.0765,1,1,0.0004999,0.262984
0.0775,1,1,0.0004999,0.262984
0.0785,1,1,0.0004999,0.262984
0.0795,1,1,0.0004999,0.262984
0.0805,1,1,0.0004999,0.262984
0.0815,1,1,0.0004999,0.262984
0.0825,1,1,0.0004999,0.262984
0.0835,1,1,0.0004999,0.262984
0.0845,1,1,0.0004999,0.262984
0.0855,1,1,0.0004999,0.262984
0.0865,1,1,0.0004999,0.262984
0.0875,1,1,0.0004999,0.262984
0.0885,1,1,0.0004999,0.262984
0.0895,1,1,0.0004999,0.262984
0.0905,1,1,0.0004999,0.262984
0.0915,1,1,0.0004999,0.262984
0.0925,1,1,0.0004999,0.262984
0.0935,1,1,0.0004999,0.262984
0.0945,1,1,0.0004999,0.262984
0.0955,1,1,0.0004999,0.262984
