#Time Total flux(top) flux(bottom)
1 2.314814998e-15 0 0
1.310723365 3.034082104e-15 0 0
1.603469153 3.711734442e-15 0 0
1.89621494 4.389386781e-15 0 0
2.188960727 5.067039119e-15 0 0
2.554893046 5.914104738e-15 0 0
2.920825365 6.761170357e-15 0 0
3.286757684 7.608235975e-15 0 0
3.564077218 8.25017939e-15 0 0
3.841396752 8.892122805e-15 0 0
4.1523399 9.611898665e-15 0 0
4.463283048 1.033167452e-14 0 0
4.774226196 1.105145038e-14 0 0
5.085169344 1.177122624e-14 0 0
5.396112492 1.24910021e-14 0 0
5.784791236 1.339072148e-14 0 0
6.173469979 1.429044086e-14 0 0
6.562148722 1.519016024e-14 0 0
6.950827466 1.608987962e-14 0 0
7.339506209 1.6989599e-14 0 0
7.825354489 1.811424788e-14 0 0
8.311202769 1.923889676e-14 0 0
8.797051049 2.036354563e-14 0 0
9.282899328 2.148819451e-14 0 0
9.768747608 2.261284338e-14 0 0
10.37605772 2.401865393e-14 0 0
10.98336784 2.542446449e-14 0 0
11.59067796 2.683027504e-14 0 0
12.19798807 2.823608558e-14 0 0
12.80529819 2.964189613e-14 0 0
13.56443656 3.139916101e-14 0 0
14.32357494 3.315642588e-14 0 0
15.08271331 3.491369075e-14 0 0
15.84185169 3.667095563e-14 0 0
16.60099006 3.84282205e-14 0 0
17.54991246 4.062480026e-14 0 0
18.49883486 4.282138002e-14 0 0
19.44775726 4.501795978e-14 0 0
20.39667966 4.721453954e-14 0 0
21.34560206 4.94111193e-14 0 0
22.53175505 5.215684399e-14 0 0
23.71790805 5.490256868e-14 0 0
24.90406105 5.764829336e-14 0 0
26.09021405 6.039401805e-14 0 0
27.27636705 6.313974272e-14 0 0
28.75905551 6.657189212e-14 0 0
30.24174397 7.000404151e-14 0 0
31.72443243 7.343619089e-14 0 0
33.20712089 7.686834027e-14 0 0
34.68980935 8.030048964e-14 0 0
36.54316557 8.459066627e-14 0 0
38.3965218 8.888084289e-14 0 0
40.24987802 9.317101951e-14 0 0
42.10323424 9.746119611e-14 0 0
43.95659046 1.017513727e-13 0 0
46.27328914 1.071141013e-13 0 0
48.58998782 1.124768299e-13 0 0
50.9066865 1.178395585e-13 0 0
