#Time Total flux(top) flux(bottom)
0.1 1e-09 -1e-08 0
0.110627 1.10627e-09 -1e-08 0
0.120395 1.20395e-09 -1e-08 0
0.132605 1.32605e-09 -1e-08 0
0.147868 1.47868e-09 -1e-08 0
0.166946 1.66946e-09 -1e-08 0
0.190794 1.90794e-09 -1e-08 0
0.220604 2.20604e-09 -1e-08 0
0.257866 2.57866e-09 -1e-08 0
0.304444 3.04444e-09 -1e-08 0
0.362667 3.62667e-09 -1e-08 0
0.435445 4.35445e-09 -1e-08 0
0.526417 5.26418e-09 -1e-08 0
0.640133 6.40134e-09 -1e-08 0
0.782278 7.82278e-09 -1e-08 0
0.959959 9.5996e-09 -1e-08 0
1.18206 1.18206e-08 -1e-08 0
1.45969 1.45969e-08 -1e-08 0
1.80672 1.80672e-08 -1e-08 0
2.24051 2.24051e-08 -1e-08 0
2.78275 2.78276e-08 -1e-08 0
3.46055 3.46056e-08 -1e-08 0
4.3078 4.30781e-08 -1e-08 0
5.36686 5.36688e-08 -1.00001e-08 0
6.69069 6.69071e-08 -1.00001e-08 0
8.34547 8.3455e-08 -1.00001e-08 0
10.414 1.0414e-07 -1.00001e-08 0
12.9995 1.29996e-07 -1.00001e-08 0
16.2315 1.62317e-07 -1.00002e-08 0
20.2715 2.02717e-07 -1.00002e-08 0
25.3215 2.53218e-07 -1.00002e-08 0
31.634 3.16345e-07 -1.00003e-08 0
39.5246 3.95254e-07 -1.00004e-08 0
49.3879 4.93891e-07 -1.00005e-08 0
61.717 6.17188e-07 -1.00006e-08 0
77.1284 7.71312e-07 -1.00007e-08 0
96.3925 9.63969e-07 -1.00009e-08 0
120.473 1.20479e-06 -1.00011e-08 0
150.573 1.50584e-06 -1.00014e-08 0
188.198 1.88215e-06 -1.00018e-08 0
235.231 2.35256e-06 -1.00022e-08 0
294.02 2.9406e-06 -1.00028e-08 0
367.506 3.67569e-06 -1.00034e-08 0
459.367 4.59466e-06 -1.00043e-08 0
574.191 5.74345e-06 -1.00054e-08 0
709.522 7.09758e-06 -1.00066e-08 0
866.102 8.66453e-06 -1.00081e-08 0
