#Time Total flux(top) flux(bottom)
0.1 1e-09 -1e-08 0
0.100447 1.00447e-09 -1e-08 0
0.101006 1.01006e-09 -1e-08 0
0.101433 1.01433e-09 -1e-08 0
0.101917 1.01917e-09 -1e-08 0
0.102355 1.02355e-09 -1e-08 0
0.102819 1.02819e-09 -1e-08 0
0.103266 1.03266e-09 -1e-08 0
0.103725 1.03725e-09 -1e-08 0
0.104178 1.04178e-09 -1e-08 0
0.104636 1.04636e-09 -1e-08 0
0.105092 1.05092e-09 -1e-08 0
0.105552 1.05552e-09 -1e-08 0
0.106011 1.06011e-09 -1e-08 0
0.106472 1.06472e-09 -1e-08 0
0.106933 1.06933e-09 -1e-08 0
0.107396 1.07396e-09 -1e-08 0
0.10786 1.0786e-09 -1e-08 0
0.108325 1.08325e-09 -1e-08 0
0.108791 1.08791e-09 -1e-08 0
0.109258 1.09258e-09 -1e-08 0
0.109726 1.09726e-09 -1e-08 0
0.110195 1.10195e-09 -1e-08 0
0.110665 1.10665e-09 -1e-08 0
0.111137 1.11137e-09 -1e-08 0
0.111609 1.11609e-09 -1e-08 0
0.112083 1.12083e-09 -1e-08 0
0.112558 1.12558e-09 -1e-08 0
0.113034 1.13034e-09 -1e-08 0
0.113511 1.13511e-09 -1e-08 0
0.113989 1.13989e-09 -1e-08 0
0.114468 1.14468e-09 -1e-08 0
0.114949 1.14949e-09 -1e-08 0
0.11543 1.1543e-09 -1e-08 0
0.115913 1.15913e-09 -1e-08 0
0.116397 1.16397e-09 -1e-08 0
0.116882 1.16882e-09 -1e-08 0
0.117368 1.17368e-09 -1e-08 0
0.117855 1.17856e-09 -1e-08 0
0.118344 1.18344e-09 -1e-08 0
0.118834 1.18834e-09 -1e-08 0
0.119325 1.19325e-09 -1e-08 0
0.119817 1.19817e-09 -1e-08 0
0.12031 1.2031e-09 -1e-08 0
0.120805 1.20805e-09 -1e-08 0
0.1213 1.213e-09 -1e-08 0
0.121797 1.21797e-09 -1e-08 0
0.122295 1.22295e-09 -1e-08 0
0.122795 1.22795e-09 -1e-08 0
0.123295 1.23295e-09 -1e-08 0
0.123797 1.23797e-09 -1e-08 0
0.1243 1.243e-09 -1e-08 0
0.124805 1.24805e-09 -1e-08 0
0.12531 1.2531e-09 -1e-08 0
0.125817 1.25817e-09 -1e-08 0
0.126325 1.26325e-09 -1e-08 0
0.126834 1.26834e-09 -1e-08 0
0.127345 1.27345e-09 -1e-08 0
0.127857 1.27857e-09 -1e-08 0
0.12837 1.2837e-09 -1e-08 0
0.128884 1.28884e-09 -1e-08 0
