#Time Total flux(top) flux(bottom)
0.1 1e-09 -1e-08 0
0.106694 1.06694e-09 -1e-08 0
0.112736 1.12736e-09 -1e-08 0
0.118828 1.18828e-09 -1e-08 0
0.123594 1.23594e-09 -1e-08 0
0.129552 1.29552e-09 -1e-08 0
0.136999 1.36999e-09 -1e-08 0
0.146308 1.46308e-09 -1e-08 0
0.157945 1.57945e-09 -1e-08 0
0.17249 1.7249e-09 -1e-08 0
0.190672 1.90672e-09 -1e-08 0
0.2134 2.134e-09 -1e-08 0
0.241809 2.41809e-09 -1e-08 0
0.27732 2.7732e-09 -1e-08 0
0.288902 2.88902e-09 -1e-08 0
0.303379 3.03379e-09 -1e-08 0
0.321475 3.21475e-09 -1e-08 0
0.344095 3.44095e-09 -1e-08 0
0.37237 3.72371e-09 -1e-08 0
0.407715 4.07715e-09 -1e-08 0
0.451895 4.51895e-09 -1e-08 0
0.50712 5.0712e-09 -1e-08 0
0.576151 5.76151e-09 -1e-08 0
0.662441 6.62441e-09 -1e-08 0
0.770302 7.70302e-09 -1e-08 0
0.905129 9.0513e-09 -1e-08 0
1.07366 1.07366e-08 -1e-08 0
1.28433 1.28433e-08 -1e-08 0
1.54766 1.54767e-08 -1e-08 0
1.87683 1.87683e-08 -1e-08 0
2.28829 2.28829e-08 -1e-08 0
2.80262 2.80262e-08 -1e-08 0
3.44552 3.44553e-08 -1e-08 0
4.24915 4.24916e-08 -1e-08 0
5.25369 5.25371e-08 -1.00001e-08 0
6.50937 6.50939e-08 -1.00001e-08 0
8.07896 8.079e-08 -1.00001e-08 0
10.041 1.0041e-07 -1.00001e-08 0
12.4934 1.24935e-07 -1.00001e-08 0
15.5591 1.55592e-07 -1.00002e-08 0
19.3911 1.93913e-07 -1.00002e-08 0
24.1811 2.41814e-07 -1.00002e-08 0
30.1686 3.01691e-07 -1.00003e-08 0
37.653 3.76537e-07 -1.00004e-08 0
47.0085 4.70096e-07 -1.00005e-08 0
58.7029 5.87047e-07 -1.00006e-08 0
73.3209 7.33236e-07 -1.00007e-08 0
91.5934 9.15976e-07 -1.00009e-08 0
114.434 1.1444e-06 -1.00011e-08 0
142.984 1.42994e-06 -1.00014e-08 0
176.461 1.76477e-06 -1.00018e-08 0
215.244 2.15267e-06 -1.00022e-08 0
259.555 2.59588e-06 -1.00026e-08 0
309.753 3.09801e-06 -1.00031e-08 0
366.245 3.66312e-06 -1.00037e-08 0
429.441 4.29533e-06 -1.00043e-08 0
499.754 4.99879e-06 -1.0005e-08 0
577.603 5.7777e-06 -1.00058e-08 0
663.412 6.63632e-06 -1.00066e-08 0
757.609 7.57896e-06 -1.00076e-08 0
860.624 8.60994e-06 -1.00086e-08 0
972.887 9.7336e-06 -1.00097e-08 0
1094.85 1.09545e-05 -1.00109e-08 0
1226.97 1.22772e-05 -1.00123e-08 0
1369.71 1.37065e-05 -1.00137e-08 0
1523.53 1.52469e-05 -1.00152e-08 0
1688.93 1.69035e-05 -1.00169e-08 0
1866.37 1.86811e-05 -1.00187e-08 0
2056.38 2.0585e-05 -1.00206e-08 0
2259.47 2.26202e-05 -1.00226e-08 0
2476.18 2.47924e-05 -1.00248e-08 0
2707.03 2.7107e-05 -1.00271e-08 0
2952.61 2.95697e-05 -1.00295e-08 0
3213.48 3.21865e-05 -1.00321e-08 0
3490.29 3.49638e-05 -1.00349e-08 0
3783.64 3.7908e-05 -1.00378e-08 0
4094.08 4.10247e-05 -1.00409e-08 0
4422.44 4.43222e-05 -1.00442e-08 0
4769.33 4.78071e-05 -1.00477e-08 0
5135.5 5.14868e-05 -1.00514e-08 0
5521.7 5.53694e-05 -1.00552e-08 0
5928.77 5.94635e-05 -1.00593e-08 0
6357.44 6.37765e-05 -1.00636e-08 0
6808.68 6.83186e-05 -1.00681e-08 0
7283.44 7.30996e-05 -1.00728e-08 0
7782.79 7.81308e-05 -1.00778e-08 0
8307.78 8.34229e-05 -1.00831e-08 0
8859.33 8.89857e-05 -1.00886e-08 0
9438.6 9.48315e-05 -1.00944e-08 0
10047.1 0.000100975 -1.01005e-08 0
10686.1 0.000107432 -1.01069e-08 0
11356.9 0.000114214 -1.01136e-08 0
12061 0.000121338 -1.01206e-08 0
12800.5 0.000128824 -1.0128e-08 0
13577.2 0.000136694 -1.01358e-08 0
14392.4 0.00014496 -1.01439e-08 0
15249.5 0.000153658 -1.01525e-08 0
16149.6 0.0001628 -1.01615e-08 0
