#Time Total flux(top) flux(bottom)
0.1 1e-09 -1e-08 0
0.114142 1.14142e-09 -1e-08 0
0.13182 1.3182e-09 -1e-08 0
0.147663 1.47663e-09 -1e-08 0
0.166225 1.66225e-09 -1e-08 0
0.185172 1.85172e-09 -1e-08 0
0.206454 2.06454e-09 -1e-08 0
0.229159 2.29159e-09 -1e-08 0
0.254242 2.54242e-09 -1e-08 0
0.281449 2.81449e-09 -1e-08 0
0.311347 3.11347e-09 -1e-08 0
0.343999 3.43999e-09 -1e-08 0
0.379838 3.79839e-09 -1e-08 0
0.419101 4.19101e-09 -1e-08 0
0.462203 4.62203e-09 -1e-08 0
0.509496 5.09496e-09 -1e-08 0
0.561436 5.61436e-09 -1e-08 0
0.618477 6.18478e-09 -1e-08 0
0.68115 6.8115e-09 -1e-08 0
0.750016 7.50016e-09 -1e-08 0
0.825706 8.25706e-09 -1e-08 0
0.908905 9.08905e-09 -1e-08 0
1.00037 1.00037e-08 -1e-08 0
1.10093 1.10093e-08 -1e-08 0
1.21151 1.21151e-08 -1e-08 0
1.3331 1.3331e-08 -1e-08 0
1.46682 1.46682e-08 -1e-08 0
1.61387 1.61387e-08 -1e-08 0
1.7756 1.7756e-08 -1e-08 0
1.95348 1.95348e-08 -1e-08 0
2.14912 2.14912e-08 -1e-08 0
2.3643 2.3643e-08 -1e-08 0
2.60099 2.60099e-08 -1e-08 0
2.86132 2.86133e-08 -1e-08 0
3.14768 3.14769e-08 -1e-08 0
3.46267 3.46268e-08 -1e-08 0
3.80915 3.80916e-08 -1e-08 0
4.19027 4.19028e-08 -1e-08 0
4.60951 4.60952e-08 -1e-08 0
5.07067 5.07069e-08 -1e-08 0
5.57796 5.57798e-08 -1.00001e-08 0
6.13599 6.13601e-08 -1.00001e-08 0
6.74985 6.74987e-08 -1.00001e-08 0
7.42511 7.42514e-08 -1.00001e-08 0
8.16794 8.16797e-08 -1.00001e-08 0
8.98509 8.98513e-08 -1.00001e-08 0
9.884 9.88405e-08 -1.00001e-08 0
10.8729 1.08729e-07 -1.00001e-08 0
11.9607 1.19608e-07 -1.00001e-08 0
13.1575 1.31576e-07 -1.00001e-08 0
14.474 1.44741e-07 -1.00001e-08 0
15.9223 1.59225e-07 -1.00002e-08 0
17.5157 1.75158e-07 -1.00002e-08 0
19.2686 1.92688e-07 -1.00002e-08 0
21.1971 2.11973e-07 -1.00002e-08 0
23.3187 2.3319e-07 -1.00002e-08 0
25.653 2.56533e-07 -1.00002e-08 0
28.2211 2.82215e-07 -1.00003e-08 0
31.0467 3.10471e-07 -1.00003e-08 0
34.1555 3.41561e-07 -1.00003e-08 0
37.576 3.75767e-07 -1.00004e-08 0
41.3397 4.13406e-07 -1.00004e-08 0
45.481 4.5482e-07 -1.00004e-08 0
50.038 5.00392e-07 -1.00005e-08 0
55.0525 5.5054e-07 -1.00005e-08 0
60.5708 6.05726e-07 -1.00006e-08 0
66.6436 6.66458e-07 -1.00006e-08 0
73.327 7.33297e-07 -1.00007e-08 0
80.6828 8.0686e-07 -1.00008e-08 0
88.779 8.87829e-07 -1.00008e-08 0
97.6907 9.76954e-07 -1.00009e-08 0
107.501 1.07506e-06 -1.0001e-08 0
118.3 1.18307e-06 -1.00011e-08 0
130.19 1.30199e-06 -1.00012e-08 0
143.282 1.43293e-06 -1.00014e-08 0
157.699 1.57711e-06 -1.00015e-08 0
173.576 1.73591e-06 -1.00017e-08 0
191.063 1.91081e-06 -1.00018e-08 0
210.326 2.10348e-06 -1.0002e-08 0
231.549 2.31576e-06 -1.00022e-08 0
254.935 2.54967e-06 -1.00024e-08 0
280.709 2.80748e-06 -1.00027e-08 0
312.927 3.12976e-06 -1.0003e-08 0
353.199 3.53262e-06 -1.00033e-08 0
403.539 4.0362e-06 -1.00038e-08 0
466.462 4.66571e-06 -1.00044e-08 0
545.116 5.45265e-06 -1.00051e-08 0
643.43 6.43637e-06 -1.00059e-08 0
766.321 7.66615e-06 -1.0007e-08 0
919.931 9.20355e-06 -1.00084e-08 0
1111.95 1.11257e-05 -1.00102e-08 0
1351.95 1.35287e-05 -1.00123e-08 0
1651.94 1.6533e-05 -1.0015e-08 0
2026.97 2.02903e-05 -1.00184e-08 0
2495.73 2.49884e-05 -1.00226e-08 0
3081.8 3.08655e-05 -1.00279e-08 0
3814.29 3.82157e-05 -1.00345e-08 0
4729.91 4.74109e-05 -1.00427e-08 0
5873.89 5.89115e-05 -1.0053e-08 0
7304.29 7.33097e-05 -1.00659e-08 0
9061.28 9.10233e-05 -1.00818e-08 0
11096.1 0.000111576 -1.01008e-08 0
13473.2 0.00013564 -1.01228e-08 0
16206 0.000163373 -1.01484e-08 0
19369.3 0.000195569 -1.01779e-08 0
23014.8 0.000232796 -1.02119e-08 0
27244.2 0.000276153 -1.02513e-08 0
32157.1 0.000326741 -1.0297e-08 0
37883.9 0.000386015 -1.03502e-08 0
44565.3 0.000455583 -1.04122e-08 2.79362e-301
52461.5 0.000538376 -1.04851e-08 8.45466e-277
61751.1 0.000636577 -1.05711e-08 4.51527e-254
71133.5 0.000736635 -1.06644e-08 8.44855e-251
82191.5 0.000855692 -1.07666e-08 2.95645e-230
94428.9 0.000988873 -1.08831e-08 3.5586e-217
108803 0.00114722 -1.10162e-08 3.59933e-198
123413 0.00131028 -1.11611e-08 1.27041e-194
140601 0.00150485 -1.13201e-08 1.49449e-177
159699 0.0017245 -1.15015e-08 3.22138e-166
180194 0.00196429 -1.16995e-08 1.73325e-158
203617 0.00224347 -1.19191e-08 7.05189e-146
227750 0.00253685 -1.21568e-08 7.67881e-142
254379 0.00286733 -1.24106e-08 3.01384e-133
284204 0.0032459 -1.26929e-08 9.91921e-124
315325 0.0036504 -1.29976e-08 2.70024e-119
349559 0.00410655 -1.33244e-08 5.9981e-112
385695 0.00460075 -1.36763e-08 3.29091e-107
426648 0.00517663 -1.40617e-08 9.25595e-99
447884 0.00548183 -1.43727e-08 1.92239e-98
474175 0.00586596 -1.46103e-08 5.36943e-98
494399 0.00616614 -1.48429e-08 1.06079e-97
519679 0.00654712 -1.50704e-08 2.77174e-97
540563 0.00686666 -1.53012e-08 5.65581e-97
564743 0.00724211 -1.55265e-08 1.38097e-96
587652 0.00760319 -1.5762e-08 3.13407e-96
611907 0.00799123 -1.59978e-08 7.68669e-96
636163 0.00838515 -1.62404e-08 1.88526e-95
662152 0.00881374 -1.64916e-08 5.15913e-95
