#Time Total flux(top) flux(bottom)
1 1.373903999e-08 -1.373904e-08 0
1.310723247 1.80080791e-08 -1.373904e-08 0
1.622380183 2.22899462e-08 -1.373904e-08 0
2.011951348 2.764228001e-08 -1.373904e-08 0
2.498915311 3.433269737e-08 -1.373904e-08 0
3.107620278 4.269571923e-08 -1.373904e-08 0
3.868501495 5.314949667e-08 -1.373904e-08 0
4.819602988 6.621671806e-08 -1.373904e-08 0
6.008479809 8.255074418e-08 -1.373904e-08 0
7.494575905 1.029682778e-07 -1.373904e-08 0
9.35219608 1.284901954e-07 -1.373904e-08 0
11.6742213 1.603925925e-07 -1.373904e-08 0
14.57675282 2.002705886e-07 -1.373904e-08 0
18.20491702 2.501180808e-07 -1.373904e-08 0
22.74012194 3.124274414e-07 -1.373904e-08 0
28.40912809 3.903141416e-07 -1.373904e-08 0
35.49538498 4.876725054e-07 -1.373904e-08 0
44.35320485 6.09370442e-07 -1.373904e-08 0
55.42548357 7.614929147e-07 -1.373904e-08 0
69.26583804 9.516460866e-07 -1.373904e-08 0
86.56627639 1.189337483e-06 -1.373904e-08 0
108.1918095 1.486451518e-06 -1.373904e-08 0
135.2237259 1.857844054e-06 -1.373904e-08 0
169.0136576 2.322085206e-06 -1.373904e-08 0
211.2511004 2.902387012e-06 -1.373904e-08 0
264.0479482 3.627764843e-06 -1.373904e-08 0
330.0438698 4.534485181e-06 -1.373904e-08 0
412.5387719 5.66788552e-06 -1.373904e-08 0
515.657231 7.084633497e-06 -1.373904e-08 0
644.5558314 8.855575496e-06 -1.373904e-08 0
805.6790819 1.106925267e-05 -1.373904e-08 0
1007.083788 1.383635748e-05 -1.373904e-08 0
1258.83967 1.72952377e-05 -1.373904e-08 0
1573.534523 2.161883674e-05 -1.373904e-08 0
1966.898185 2.702326627e-05 -1.373904e-08 0
2458.602763 3.377880018e-05 -1.373904e-08 0
3073.221512 4.222304841e-05 -1.373904e-08 0
3841.513658 5.277860843e-05 -1.373904e-08 0
4801.878839 6.597304705e-05 -1.373904e-08 0
6002.358158 8.246639133e-05 -1.373904e-08 0
7502.957307 9.097954784e-05 -1.192265851e-09 0
8155.024141 9.097948942e-05 1.718493493e-09 0
8959.955546 9.097941659e-05 0 0
9479.887949 9.097936936e-05 0 0
10129.80345 9.097931026e-05 0 0
10942.1769 9.097923637e-05 0 0
11957.64372 9.097914399e-05 0 0
13227.00279 9.097902851e-05 0 0
14813.74156 9.097888415e-05 0 0
16797.10262 9.097870371e-05 0 0
19148.13635 9.097848981e-05 0 0
21947.75694 9.097823511e-05 0 0
25266.45387 9.097793318e-05 0 0
29214.36159 9.097757401e-05 0 0
33915.30434 9.097714633e-05 0 0
39507.98524 9.097663752e-05 0 0
46155.38725 9.097603277e-05 0 0
54045.52817 9.097531496e-05 0 0
63397.45858 9.097446416e-05 0 0
74482.7565 9.097345569e-05 0 0
87608.8624 9.097226157e-05 0 0
103161.5065 9.097084672e-05 0 0
121573.0925 9.096917182e-05 0 0
143352.6516 9.096719057e-05 0 0
169137.1296 9.096484506e-05 0 0
199586.7698 9.096207526e-05 0 0
235596.7792 9.095879977e-05 0 0
278165.3126 9.095492787e-05 0 0
328552.5562 9.095034502e-05 0 0
387946.2154 9.094494331e-05 0 7.905050333e-323
458262.8463 9.093854859e-05 0 6.35069909e-297
541016.4324 9.093102341e-05 0 1.11259857e-273
638452.1063 9.092216391e-05 0 2.457184426e-252
753688.5284 9.091168697e-05 0 2.973702788e-232
888567.5224 9.089942572e-05 0 1.437823939e-214
1047141.475 9.088501259e-05 0 4.603720624e-198
1233849.516 9.086804521e-05 0 1.1249875e-182
1452872.409 9.08481452e-05 0 1.037237928e-168
1712643.749 9.082454852e-05 0 3.161549732e-155
2015710.311 9.079702681e-05 0 1.369547236e-143
2369287.968 9.076492868e-05 0 5.253819827e-133
2779438.049 9.072770907e-05 0 1.768168722e-123
3271618.146 9.068306568e-05 0 2.578027878e-113
3821701.785 9.063319613e-05 0 2.335242963e-106
4498727.801 9.057185585e-05 0 4.357890836e-97
5237301.638 9.050498654e-05 0 1.109729947e-91
6160518.933 9.042146931e-05 0 1.666055231e-83
7237605.777 9.032412993e-05 0 4.779548585e-77
8583964.333 9.020260304e-05 0 7.833268494e-70
9930322.889 9.008123964e-05 0 2.58189253e-67
11276681.44 8.996003953e-05 0 1.495176203e-65
12623040 8.983900249e-05 0 4.984071083e-64
14200920 8.9697359e-05 0 2.870497228e-61
16041780 8.953239046e-05 0 1.751659145e-57
18342855 8.932660629e-05 0 1.112271323e-52
21794467.5 8.901881615e-05 0 1.992246517e-45
25246080 8.871208628e-05 0 4.034309623e-43
29453760 8.833959666e-05 0 4.276947827e-40
33661440 8.796867077e-05 0 2.364056969e-38
37869120 8.759930226e-05 0 5.138647049e-37
44180640 8.704815361e-05 0 1.032262301e-33
50492160 8.65004711e-05 0 5.922529329e-32
56803680 8.595623393e-05 0 1.073229836e-30
63115200 8.541542079e-05 0 1.221445934e-29
69426720 8.487801023e-05 0 1.035882363e-28
75738240 8.43439809e-05 0 7.084036186e-28
82049760 8.381331153e-05 0 4.089100659e-27
88361280 8.328598098e-05 0 2.052715229e-26
94672800 8.276196825e-05 0 9.152758955e-26
100984320 8.224125247e-05 0 3.682405855e-25
107295840 8.172381289e-05 0 1.353212695e-24
113607360 8.12096289e-05 0 4.586586987e-24
119918880 8.069868001e-05 0 1.445335606e-23
126230400 8.019094588e-05 0 4.262819612e-23
132541920 7.968640627e-05 0 1.183394696e-22
138853440 7.918504108e-05 0 3.107267561e-22
145164960 7.868683035e-05 0 7.74965136e-22
151476480 7.819175422e-05 0 1.84270673e-21
157788000 7.769979296e-05 0 4.191160225e-21
164099520 7.721092696e-05 0 9.145293515e-21
170411040 7.672513672e-05 0 1.919550999e-20
176722560 7.624240284e-05 0 3.884942638e-20
183034080 7.576270601e-05 0 7.598070338e-20
189345600 7.528602695e-05 0 1.438883307e-19
195657120 7.48123464e-05 0 2.643325138e-19
201968640 7.434164505e-05 0 4.718624939e-19
208280160 7.38739034e-05 0 8.197895958e-19
214591680 7.340910167e-05 0 1.388176731e-18
220903200 7.294721955e-05 0 2.294204506e-18
227214720 7.248823595e-05 0 3.705226153e-18
233526240 7.203212864e-05 0 5.854733369e-18
239837760 7.157887374e-05 0 9.061321138e-18
246149280 7.112844518e-05 0 1.375056473e-17
252460800 7.068081391e-05 0 2.047951404e-17
258772320 7.023594702e-05 0 2.996328193e-17
265083840 6.979380669e-05 0 4.310296978e-17
271395360 6.935434895e-05 0 6.101395431e-17
277706880 6.891752228e-05 0 8.505337229e-17
284018400 6.848326607e-05 0 1.168455021e-16
290329920 6.805150893e-05 0 1.58303667e-16
296641440 6.762216691e-05 0 2.116472833e-16
302952960 6.719514156e-05 0 2.794127519e-16
309264480 6.677031813e-05 0 3.644570415e-16
315576000 6.634756359e-05 0 4.699530297e-16
321887520 6.592672487e-05 0 5.99375941e-16
328199040 6.550762714e-05 0 7.564805358e-16
334510560 6.509007231e-05 0 9.452690383e-16
340822080 6.467383777e-05 0 1.169950136e-15
347133600 6.425867543e-05 0 1.434889708e-15
353445120 6.384431102e-05 0 1.744554242e-15
359756640 6.343044391e-05 0 2.103448158e-15
366068160 6.301674718e-05 0 2.516046451e-15
372379680 6.260286825e-05 0 2.986724237e-15
378691200 6.218842989e-05 0 3.519684842e-15
385002720 6.177303166e-05 0 4.118888116e-15
391314240 6.135625181e-05 0 4.787980629e-15
397625760 6.093764963e-05 0 5.530229293e-15
403937280 6.051676809e-05 0 6.348459843e-15
410248800 6.009313691e-05 0 7.245001443e-15
416560320 5.966627589e-05 0 8.22163848e-15
422871840 5.923569856e-05 0 9.279570389e-15
429183360 5.880091593e-05 0 1.041938014e-14
435494880 5.836144047e-05 0 1.164101181e-14
441806400 5.791679014e-05 0 1.294375736e-14
448117920 5.746649246e-05 0 1.432625266e-14
454429440 5.701008856e-05 0 1.578648249e-14
